Target,Draft,Gamma,Acceptance Rate,Speedup
Qwen/Qwen3-8B,Qwen/Qwen3-0.6B,2,0.6855,0.52
Qwen/Qwen3-8B,Qwen/Qwen3-0.6B,3,0.6199,0.54
Qwen/Qwen3-8B,Qwen/Qwen3-0.6B,5,0.5251,0.51
Qwen/Qwen3-8B,Qwen/Qwen3-0.6B,7,0.467,0.47
Qwen/Qwen3-8B,Qwen/Qwen3-1.7B,2,0.752,0.52
Qwen/Qwen3-8B,Qwen/Qwen3-1.7B,3,0.7089,0.56
Qwen/Qwen3-8B,Qwen/Qwen3-1.7B,5,0.5909,0.55
Qwen/Qwen3-8B,Qwen/Qwen3-1.7B,7,0.5365,0.53
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.2-1B,2,0.6998000000000001,0.52
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.2-1B,3,0.6795,0.6
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.2-1B,5,0.5815,0.64
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.2-1B,7,0.5306000000000001,0.64
